iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,population_population_number_of_people,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year
RUS,ECS,Russian Federation,UMC,26012.84961,28.41,16.82,1.83,19.03,19.7,14.21,NA,NA,NA,143201680,NA,1392000,110000000,NA,NA,60000000
RWA,SSF,Rwanda,LIC,1950.528076,NA,NA,NA,NA,NA,NA,NA,NA,NA,11917508,NA,5900,NA,NA,NA,4384969
SAU,MEA,Saudi Arabia,HIC,48921.23047,45.5,4,5,2.5,27,11,NA,5,NA,31557144,NA,508000,697000,NA,25207,16125700.58
SDN,SSF,Sudan,LMC,4191.823242,51.4,3.5,1.7,18.9,11.8,12.7,NA,NA,NA,38647804,NA,51000,NA,NA,NA,2831291
SEN,SSF,Senegal,LIC,3067.662598,12,2,2,68,5,9,NA,2,NA,15411614,NA,15000,NA,NA,NA,2454059.25
SGP,EAS,Singapore,HIC,97341.46875,10.51,0.93,19.12,32.3,14.86,10.58,1.96,5.5,4.26,5703600,1609300,100000,446870,NA,NA,1870000
SLB,EAS,Solomon Islands,LMC,2596.452881,42.8,6.65,13.15,3.7,6.45,22.35,4.9,NA,NA,563513,NA,400,NA,NA,273.34,179971.9644
SLE,SSF,Sierra Leone,LIC,1237.630249,NA,NA,NA,NA,NA,NA,NA,NA,NA,5439695,NA,3400,NA,NA,NA,610222.09
SLV,LCN,El Salvador,LMC,7328.713379,65,4,2,7,12,10,NA,NA,NA,6164626,NA,30100,16465,NA,NA,1648996.18
SMR,ECS,San Marino,HIC,58806.19922,5.35,5.61,0.9,65.56,13.21,5.6,NA,1.28,2.49,33203,NA,NA,NA,NA,NA,17174.68
SOM,SSF,Somalia,LIC,1862.614136,NA,NA,NA,NA,NA,NA,NA,NA,NA,14317996,NA,NA,NA,NA,NA,2326099.17
SRB,ECS,Serbia,UMC,18351.27344,37.62,5.44,1.38,16.72,13.57,12.73,0.4,NA,12.14,6944975,46707848,14388,13475026,NA,32888,2347401.5
SSD,SSF,South Sudan,LIC,1795.991943,NA,NA,NA,NA,NA,NA,NA,NA,NA,11177490,NA,NA,NA,NA,NA,2680681
STP,SSF,São Tomé and Príncipe,LMC,3720.786865,NA,NA,NA,NA,NA,NA,NA,NA,NA,191266,NA,200,NA,NA,NA,25586.5
SUR,LCN,Suriname,UMC,16953.80273,57,3,3,24,NA,11,NA,NA,NA,526103,NA,5000,NA,NA,1270.2,78619.79915
SVK,ECS,Slovak Republic,HIC,31965.76172,42,19,2,1,25,11,NA,NA,NA,5454073,4023409,30911,375688,NA,558605,2296164.75
SVN,ECS,Slovenia,HIC,39037.93359,NA,NA,NA,NA,NA,NA,NA,NA,NA,2087946,2071792,26359,155229,NA,227873,1052324.75
SWE,ECS,Sweden,HIC,52608.71094,23.34,9.15,9.2,NA,36.4,6.58,NA,NA,15.33,10285453,152012352,721671,2568154,NA,1315108,4618168.5
SWZ,SSF,Eswatini,LMC,8321.106445,NA,NA,NA,NA,NA,NA,NA,NA,NA,1343098,NA,5700,NA,NA,NA,218199.47
SXM,LCN,Sint Maarten (Dutch part),HIC,NA,46,7,7,12,15,13,NA,NA,NA,37685,NA,NA,NA,NA,NA,NA
SYC,SSF,Seychelles,HIC,23302.95313,48.5,5.2,4.6,25.8,5.9,9.9,0.2,0.5,NA,88303,NA,1100,NA,NA,NA,48000
SYR,MEA,Syrian Arab Republic,LIC,8587.050781,57,3,4,22,7,7,NA,NA,NA,20824892,NA,NA,68000,NA,4600,4500000
TCA,LCN,Turks and Caicos Islands,HIC,28174.48242,21.8,20.5,7.6,2.4,31.5,16.3,NA,NA,NA,34900,NA,NA,NA,NA,NA,NA
TCD,SSF,Chad,LIC,1732.691284,70,1,2,18,3,6,NA,NA,NA,11887202,NA,8800,NA,NA,NA,1358850.53
TGO,SSF,Togo,LIC,1404.132935,38,2,4,42,4,10,NA,NA,NA,7228915,NA,6400,1900,NA,NA,1109030.45
THA,EAS,Thailand,UMC,16301.53809,65.52,3.04,1.85,4.74,7.6,17.59,0.46,0.8,NA,68657600,1100000,384233,3445000,37400000,53868,26853366
TJK,ECS,Tajikistan,LIC,2616.475586,NA,NA,NA,NA,NA,NA,NA,NA,NA,8177809,NA,NA,NA,NA,NA,1787400
TKM,ECS,Turkmenistan,UMC,11471.18652,16.18,4.64,11.44,62.54,NA,2.19,NA,3.01,NA,5366277,NA,22000,1000,32300,NA,500000
TLS,EAS,Timor-Leste,LMC,3344.57373,43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,1268671,NA,3600,NA,NA,53.66,63875
TON,EAS,Tonga,UMC,5636.418457,51.3,5.9,9,8.9,7.4,13.4,4.1,NA,NA,104951,NA,300,NA,NA,102.23,17238.20175
TTO,LCN,Trinidad and Tobago,HIC,28910.9082,27.15,10.15,3.74,17.19,22.6,19.17,NA,NA,NA,1328100,NA,71.07,123914.1,NA,250.753,727874
TUN,MEA,Tunisia,LMC,10505.2627,68,2,4,5,10,11,NA,NA,NA,11143908,NA,90000,150000,116000,16000,2700000
TUR,ECS,Turkey,UMC,28289.08789,64,2,1,24,6,3,NA,NA,NA,83429616,NA,623000,3432426,NA,NA,35374156
TUV,EAS,Tuvalu,UMC,3793.127686,43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,11097,NA,10,NA,NA,5.72,3989.4865
TWN,EAS,NA,HIC,57362.92578,23.34,4.11,3.07,14.11,30.01,20.23,0.6,NA,4.43,23434000,NA,14036,NA,NA,NA,7336000
TZA,SSF,Tanzania,LIC,2128.553955,NA,NA,NA,NA,NA,NA,NA,NA,NA,49082996,NA,38000,NA,NA,NA,9276995
UGA,SSF,Uganda,LIC,1972.301758,74.5,0.8,0.6,10.6,6,7.6,NA,NA,NA,35093648,NA,25000,NA,NA,NA,7045049.836
